阈值,Precision,Recall,F1,F2
0.1,0.0907563025210084,0.9908256880733946,0.16628175519630484,0.33210332103321033
0.12000000000000001,0.0919931856899489,0.9908256880733946,0.16835541699142634,0.33540372670807456
0.14,0.09410729991204925,0.981651376146789,0.17174959871589085,0.34011443102352196
0.16000000000000003,0.09571558796718323,0.963302752293578,0.17412935323383086,0.3424657534246575
0.18000000000000002,0.10028929604628736,0.9541284403669725,0.18150087260034903,0.3530210454854039
0.2,0.10344827586206896,0.9357798165137615,0.1863013698630137,0.35864978902953587
0.22000000000000003,0.1108695652173913,0.9357798165137615,0.19825072886297376,0.37610619469026546
0.24000000000000002,0.11655011655011654,0.9174311926605505,0.20682523267838676,0.38639876352395675
0.26,0.12376237623762376,0.9174311926605505,0.21810250817884405,0.40192926045016075
0.28,0.12596401028277635,0.8990825688073395,0.2209695603156708,0.40362438220757824
0.30000000000000004,0.12942779291553133,0.8715596330275229,0.22538552787663108,0.405982905982906
0.32000000000000006,0.13439306358381503,0.8532110091743119,0.23220973782771537,0.4122340425531915
0.3400000000000001,0.14,0.8348623853211009,0.23978919631093545,0.4189686924493554
0.3600000000000001,0.1424,0.8165137614678899,0.24250681198910082,0.4194156456173421
0.38,0.14833333333333334,0.8165137614678899,0.25105782792665726,0.4295366795366795
0.4,0.15017064846416384,0.8073394495412844,0.25323741007194245,0.43052837573385516
0.42000000000000004,0.15714285714285714,0.8073394495412844,0.26307922272047835,0.44176706827309237
0.44000000000000006,0.15947467166979362,0.7798165137614679,0.26479750778816197,0.43859649122807015
0.4600000000000001,0.16367265469061876,0.7522935779816514,0.26885245901639343,0.4375667022411953
0.4800000000000001,0.1655773420479303,0.6972477064220184,0.2676056338028169,0.4245810055865922
0.5000000000000001,0.16937354988399073,0.6697247706422018,0.27037037037037037,0.4209919261822376
0.5200000000000001,0.17164179104477612,0.6330275229357798,0.2700587084148728,0.4116945107398568
0.54,0.1864864864864865,0.6330275229357798,0.2881002087682672,0.4280397022332506
0.56,0.19822485207100593,0.6146788990825688,0.29977628635346754,0.43281653746770027
0.5800000000000001,0.21052631578947367,0.5871559633027523,0.3099273607748184,0.43243243243243246
0.6000000000000001,0.21611721611721613,0.5412844036697247,0.3089005235602094,0.41607898448519043
0.6200000000000001,0.22764227642276422,0.5137614678899083,0.3154929577464789,0.41055718475073316
0.6400000000000001,0.25,0.4954128440366973,0.3323076923076923,0.41411042944785276
0.66,0.26,0.47706422018348627,0.3365695792880259,0.4088050314465409
0.68,0.26285714285714284,0.42201834862385323,0.323943661971831,0.37643207855973815
0.7000000000000001,0.2802547770700637,0.4036697247706422,0.3308270676691729,0.37099494097807756
0.7200000000000001,0.3125,0.3669724770642202,0.33755274261603374,0.3546099290780142
0.7400000000000001,0.34234234234234234,0.3486238532110092,0.34545454545454546,0.3473491773308958
0.7600000000000001,0.35789473684210527,0.3119266055045872,0.3333333333333333,0.32015065913371
0.7800000000000001,0.379746835443038,0.27522935779816515,0.3191489361702128,0.2912621359223301
0.8000000000000002,0.391304347826087,0.24770642201834864,0.30337078651685395,0.26732673267326734
0.8200000000000002,0.390625,0.22935779816513763,0.28901734104046245,0.25
0.8400000000000001,0.40384615384615385,0.1926605504587156,0.2608695652173913,0.2151639344262295
0.8600000000000001,0.47058823529411764,0.14678899082568808,0.22377622377622378,0.1702127659574468
0.8800000000000001,0.5652173913043478,0.11926605504587157,0.19696969696969696,0.14161220043572983
0.9000000000000001,0.6666666666666666,0.09174311926605505,0.16129032258064516,0.11086474501108648
