StockCode,Description,quantity,revenue,orders
22423,REGENCY CAKESTAND 3 TIER,24124,277656.25,3317
85123A,WHITE HANGING HEART T-LIGHT HOLDER,91757,247048.01,4888
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,168469.6,1
M,Manual,9384,151777.67,620
85099B,JUMBO BAG RED RETROSPOT,74224,134307.44,2612
POST,POSTAGE,5235,124648.04,1803
84879,ASSORTED COLOUR BIRD ORNAMENT,78234,124351.86,2652
47566,PARTY BUNTING,23460,103283.38,2077
23166,MEDIUM CERAMIC TOP STORAGE JAR,77916,81416.73000000001,195
22086,PAPER CHAIN KIT 50'S CHRISTMAS,28380,76598.18000000001,1691
79321,CHILLI LIGHTS,14843,69084.3,922
85099F,JUMBO BAG STRAWBERRY,35842,64127.77,1514
21137,BLACK RECORD COVER FRAME,18417,63092.12,539
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,28606,55880.17,525
82484,WOOD BLACK BOARD ANT WHITE FINISH,9678,54525.36,1048
